SITE_ID,IGBP,GPP_NT_day,GPPsat,NEP_95,NEP_99,RECOmax,EF,EFampl,Gsmax,G1,uWUE,GPPsat_std,wLL,wLMA,wSSD,wNmass,wNarea,Hc,LAImax,P,latitude,longitude,Precip,Ta,SW_IN,VPD,CSWI,n_year,APAR,APARmax,fPAR,APARpeak,GPP_k_LAI,APAR_Nmass,APARpeak_Nmass,APARmax_Nmass,PNUEmass,APAR_Narea,APARpeak_Narea,APAR_N,PNUEarea,PNUE,GPP_LAI,LAI_Hc,LAI_fPAR,LAI_Hc_fPAR,WUEet,WUEt,WUEtmax,pWUEt
US-FR2,WSA,11.153856523554321,20.867257754732872,15.552938906351724,18.97500194549563,5.516427516937256,0.5612659737216936,0.23599626095182946,0.009610045646156978,3.261657155621947,2.7367058668872115,1.5506951723033862,6.9430365296822485,0.16435144520786082,0.6509185952142856,1.75,2.8761502911375647,NA,2.8,NA,29.94949913,-97.99620056,2022.744002699852,21.532953089030013,197.02070194819058,1.348944707576625,NA,3,326.6364182578755,369.25499881149915,0.48784651510883154,287.86246187638136,5.14580240810407,186.64938186164315,164.4928353579322,211.0028564637138,1192.4147288418783,113.56722882818666,100.0860291492372,128.38515426308015,7.255273766128378,2.5911692021887065,7.45259205526174,NA,5.7395100985303955,NA,NA,NA,NA,NA
US-GBT,ENF,3.4701125559256596,10.053492988907376,8.777659932772318,11.42418652534485,2.4377959251403816,0.32038048478739245,0.2881733123890906,0.05133889606508388,1.838248594121418,0.06526457800160802,8.768852461549017,83.52903572062871,0.15196302055825278,0.3965350168413647,NA,NA,14.9,3,NA,41.3658,-106.2397,0,0.42642031479292325,196.48514909417722,0.38331077436859495,NA,3,344.9109895286441,402.4418950692563,0.45117849895938317,304.035671307948,2.2432375006660195,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.351164329635792,0.20134228187919462,6.649253027170675,0.09084130851531204,NA,NA,NA,NA
US-GLE,ENF,9.338484114679238,17.4332683163615,11.83371695280075,14.528528143882749,5.122200012207031,0.32136057057363154,0.13919702653231447,0.0062091580441012255,1.847188724538497,2.600198248711412,2.6366226745421297,83.52903572062871,0.15196302055825278,0.3965350168413647,NA,NA,14.9,4.5,99.40874803,41.3665,-106.2399,8754.364197015762,-0.09213208238341343,185.17992766012006,0.3710918293955119,2.869798764166464,10,318.55025836964654,386.98518609204353,0.40335642311149084,297.3581846997192,1.8374529621234201,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.874059625858111,0.30201342281879195,11.15638611946974,0.12181905395984623,54.929841890128564,4.899837711949814,9.40993995743786,4.387575992051127
US-Goo,GRA,13.949940166274287,27.045621787084645,17.362929897308348,20.575108144760136,7.493000030517578,0.6807692307692308,0.15813604658538694,0.009293859910377003,2.351504293304035,2.9197780577202046,4.537043915165965,NA,NA,NA,NA,NA,0.35,2,108.5126677,34.2547,-89.8735,5787.341020107269,16.625869852960466,183.6220746200907,0.5016029545251598,-0.1881681777210598,5,428.80444039756753,506.2326511449659,0.5736040080232436,418.6382940736126,9.949528229166885,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.522810893542323,5.714285714285714,3.486725985218283,3.2777371887042492,56.494577844041146,4.270825347793784,6.192449685886894,4.812758685443982
US-Ha1,DBF,19.523312617639018,36.86501517468527,26.86542120433989,31.264108663286486,7.280709218978893,0.5991135447048949,0.24558998462292297,0.01845045015804094,1.833537846770414,3.5679248309886638,6.092714655363471,18.039153284806407,0.07490606182868152,0.5308762601670582,1.972,1.4771475392615996,25.4,5.2,99.88320116,42.5378,-72.1715,25082.899918295443,8.142080567470806,141.81984351317448,0.3469861552824156,0.81908711048548,21,488.16102046395616,618.2860372221171,0.698802462939152,480.4809211140081,2.7380965879495913,247.54615642188446,243.65158271501426,313.5324732363677,1869.4226762010785,330.4754653742844,325.2761882907053,418.56755726052086,24.956894416324484,4.799402772370093,7.089425995131782,0.20472440944881892,7.441301763775821,0.14306192154659808,127.1974881630037,7.633334075790232,25.365303155904524,10.648101186760208
US-Ho1,ENF,14.923823384343404,27.21212041496734,18.817623403337265,23.280503851572668,8.160734748840332,0.4058297303856031,0.2040805887031253,0.008351338476237187,1.6352310430507755,4.096719760687555,1.0316954315884632,35.926003206849515,0.1025464810851909,0.415278860889091,1.16,1.1895391805882145,20,5.8,67.82921833,45.20410156,-68.74019623,7296.155017822981,6.602948192524088,130.05644925848145,0.42383298729633706,1.732136473503662,9,394.64364199553376,499.95405700864467,0.7639305435467716,408.5437937171805,1.4972984897941997,340.21003620304634,352.1929256182591,430.99487673159024,2345.8724495661504,331.76178509764316,343.44710992634975,420.29221497472884,22.876186727629463,3.9441701254533563,4.6917448991323,0.29,7.592313265904775,0.22153985762856374,114.05460577587397,8.830809516004974,51.42142142854407,15.79108061195787
US-Ho2,ENF,13.290972011294045,23.7086049555736,16.8122080485026,20.588198245366407,6.916222858428956,0.3910129714468098,0.20232235386931846,NA,NA,NA,1.4972848197841497,67.50532064638766,0.09996518738223259,0.4116473444978525,0.7474791148907838,0.7472188978436256,20,5.8,NA,45.20909882,-68.74700165,4720.472996845841,6.511253660721944,131.18951819088466,NA,NA,6,381.56225594839026,484.5236580784978,0.7712531101036906,387.34952337549845,1.304523787700953,510.4654409028423,518.2078210066045,648.2102956806932,3171.8083466502912,510.6432091714064,518.3882855390002,648.4360332384107,31.729129206974662,5.470539518443908,4.087690509581655,0.29,7.520228993592289,0.22366340193007025,NA,NA,NA,NA
US-IB2,GRA,16.186241365926335,30.230923027982268,22.335861396789547,27.925763917650496,7.215288877487183,0.8125941126689054,0.24365089797015593,0.013122199748592862,3.087750274948592,2.7915507316231873,4.3582817525405195,NA,NA,NA,0.7100000000000001,NA,2.162916666666665,4.211304347826087,NA,41.840599530000006,-88.240998655,6961.500046670437,9.018981342467844,153.42419420907802,0.4470830534160859,-0.45276064284928574,7,348.47748537564127,416.8554905993142,0.48173544419049147,371.17850930379194,3.6811056960010298,490.81335968400174,522.7866328222422,587.1204092948086,4257.876482814403,NA,NA,NA,NA,NA,7.178517753908653,1.9470488219577378,8.74194414924724,0.9379624291063839,56.17150884397594,4.321578904151221,7.039489623074738,4.861853117876604
US-Ivo,WET,4.9686063261051245,10.929832263243469,6.751949107646942,7.827832100391388,2.44815993309021,0.5606119129278249,0.18441068627722207,0.010173833468725302,5.9458711594240246,1.2726133153854935,0.9515118702864237,5.826215104109085,0.10651732994723229,NA,NA,NA,0.3,NA,26.38535729,68.4865,-155.7503,907.7000081911683,-9.393303962653684,113.51290237578213,0.13457908770102597,1.8137608898905708,4,375.1930226618217,442.9400599307584,0.5979714630779849,336.92387878561925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.060841869957537,3.8215721944662326,15.749265654092518,6.409672328518474
US-KS2,CSH,11.866993676483645,21.25996700060935,13.821149742603302,16.218645074367526,6.037294006347658,0.5433554475396656,0.21240681304757247,0.00782919232812278,2.8020584777294286,2.488223965543498,2.575901007545581,NA,0.174,NA,1.2,2.088,1.5,2.5,103.5642979,28.6086,-80.6715,4498.886006996036,21.708866872629038,192.27323898031574,0.6590138209191576,-4.066865006496012,4,NA,NA,NA,NA,6.091082526763927,NA,NA,NA,1771.663916717446,NA,NA,NA,10.181976532858885,4.072790613143553,8.50398680024374,1.6666666666666667,NA,NA,54.452332595403114,3.796769559372319,6.534867577102553,NA
